clean_name,Main Headquaters,Campaign,Description,Involvement,Sub-Category,Big-Category
Electra,"Israel, Israel","whoprofits.org, UN_Report","A publicly traded Israeli company active in the fields of real estate, infrastructure development, facility management, and electr, Construction and infrastructure","Israeli Construction on Occupied Land, Private Security and Surveillance Technology, Services to the Settlements, Specialized Equipment and Services, Services and utilities supporting the maintenance and existence of settlements","Construction, Real Estate, Construction","Manufacturing & Industrial, Manufacturing & Industrial"
Electra Afikim,Israel,whoprofits.org,"A private Israeli transportation operator, holding concessions for major public transport routes and serving institutional and pri","Services to the Settlements, Settlement Enterprise",Transportation,Transportation & Travel
Electra Group,Spain,DBIO_Listed_Business,Israeli real estate and infrastructure development company,"Loans, Underwriting, Bondholdings, Shareholdings",Real Estate and Infrastructure,Construction & Real Estate
El-Far Electronics Systems,Israel,whoprofits.org,"El-Far is a manufacturer of fences and perimeter protection systems.

According to a company representative, El-Far&rsquo;s fenc","Israeli Construction on Occupied Land, Services to the Settlements, Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Eli Yohanan Engineers,Israel,whoprofits.org,"A private Israeli construction and development company.

The compnay is involved in constructing housing projects in illegal Isr","Israeli Construction on Occupied Land, The Wall and Checkpoints",Construction,Manufacturing & Industrial
Elite,Israel (Local),boycott-israel.org,"A part of the Strauss Group, Elite has a significant presence in confectionery, chocolate, and coffee market in Israel.",Significant presence in confectionery market,Food and Beverages,Agriculture & Food
Elrom Studios (2000),Occupied Syrian Golan,whoprofits.org,"Elrom Studios Ltd. provides subtitles and dubbing services, in a range of languages, for a wide range of digital media.

The com",Settlement Enterprise,Communication,Technology & Hi-tech
Eltal Technologistics,Israel,whoprofits.org,"Provider of integration and logistic solutions for technological security projects.

The company operates and maintains scanning","Specialized Equipment and Services, The Wall and Checkpoints","Hi-tech, Military, Security and Surveillance",Technology & Hi-tech
Elyahu Zalman & Sons Metal Tubes Industries,Occupied Palestinian Territory,whoprofits.org,"Manufacture structural steel pipe and tubing products. The factory is located in the Ariel West&nbsp;industrial zone, which is a s",Settlement Production,Industrial Manufacturing,Manufacturing & Industrial
Elyakim Ben Ari,Israel,whoprofits.org,"An engineering, transport and quarry company. The company operates a quarry, an asphalt plant, an aggregate plant and a sand washi","Exploitation of Occupied Production and Resources, Settlement Production",Construction,Manufacturing & Industrial
Empire Kosher Poultry,USA,afsc.org-Divestment,A US-based poultry processing company known for producing kosher chicken products. It is accused of labor abuses including unsafe working conditions and poor treatment of workers,Labor Abuses,Food Processing,Agriculture & Food
Emtan Karmiel,Israel,afsc.org-profiting,Emtan Karmiel manufactures small arms and weapons.,Supplies small arms to Israeli military,Defense,Defense & Security
Energix Renewable Energies,"Israel, Israel","whoprofits.org, UN_Report","A publicly traded Israeli company active in the field of renewable energy.

The company has several renewable energy projects in, Renewable energy company","Economic Exploitation, Exploitation of Occupied Production and Resources, Settlement Enterprise, Settlement Production, Use of natural resources","Renewable Energy, Energy","Energy & Utilities, Energy & Utilities"
Enerpoint Israel,Israel,whoprofits.org,"The company provides consultancy, marketing, planning and construction services for solar systems.

In collaboration with Green ","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Settlement Production",Renewable Energy,Energy & Utilities
English Cake,Israel,whoprofits.org,"An Israeli bakery chain.

The company operates branches in Gush Etzion settlement in the occupied West Bank.

In occupied East",Services to the Settlements,Food Industry,Agriculture & Food
Eni Advanced Security Solutions,Israel,whoprofits.org,"The company provides security services to the public and private sectors.

The company won a tender issued by the Shomron region","Services to the Settlements, Specialized Equipment and Services","Military, Security and Surveillance",Defense & Security
Enlight Renewable Energy,Israel,whoprofits.org,"A publicly traded Israeli company specializing in the development, design, construction, financing and operation of renewable ener","Economic Exploitation, Exploitation of Occupied Production and Resources, Services to the Settlements, Settlement Enterprise, Settlement Production",Renewable Energy,Energy & Utilities
Erste Group,Austria,DBIO_creditor_report,Austrian financial services company,Loans,Financial Services,Finance & Insurance
Etoro,Israel,ethicalconsumer.org,A social trading and multi-asset brokerage company.,Boycott called for its links to the Israeli occupation of Palestine.,Ethical Laptops,Technology & Hi-tech
Euro Israel (Is),Israel,whoprofits.org,"A private Israeli construction company.

The company is involved in a construction project in Naveh Yaacov settlement neighborho",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Evron Systems,Occupied Palestinian Territory,whoprofits.org,"Evron Systems Ltd. provides solutions in the field of low voltage, advanced communication systems, security systems (including CCT",Private Security and Surveillance Technology,"Hi-tech, Military, Security and Surveillance",Technology & Hi-tech
Expedia,"USA, United States","bdsmovement.net, ethicalconsumer.org","Expedia offers rentals in illegal Israeli settlements built on stolen Palestinian land., An online travel booking company.","Travel and Hospitality, Settlement Support, Offers rentals in illegal Israeli settlements built on stolen Palestinian land.","Travel and Hospitality, Travel booking companies",Transportation & Travel
Expedia Group,"United States, United States, USA, United States","boycott-israel.org, DBIO_Listed_Business, whoprofits.org, UN_Report","Expedia Group Inc. is a online travel company. The Group provides booking of hotel rooms, airline seats, car rentals, and destination services through its travel suppliers. Through its travel booking and search websites, Expedia.com, Hotels.com and its majority-owned subsidiary trivago, the company promotes properties located on occupied Palestinian and Syrian land., American multinational technology company, Expedia Group Inc. is a U.S. based online travel company. The Group provides booking of hotel rooms, airline seats, car rentals, a, Online travel company","Promotes properties in occupied territories, Loans, Underwriting, Bondholdings, Shareholdings, Services to the Settlements, Settlement Enterprise, Services and utilities supporting the maintenance and existence of settlements","Online Services and Platforms, Technology, Tourism, Travel and Hospitality","Technology & Hi-tech, Transportation & Travel"
Expedia Sub-Brand,United States,boycott-israel.org,"These are sub-brands under Expedia Group, an online travel company that provides booking of hotel rooms, airline seats, car rentals, and destination services.",Expedia.com-Hotels.com-Trivago-Vrbo-Travelocity-Hotwire-Orbitz-ebookers-CheapTickets-Expedia Cruises-Wotif-CarRentals-Egencia,Online Services and Platforms,Technology & Hi-tech
